productName,SKU,productType,productSection,productOrder,complSheets,complCurtains,complPillowCovers,complCushions,complDecoration,pageTemplate,pageTitle,pageSubtitle,pageCopys,pageResources,pageKeywords,pageVideos,pageStatus,pageIcons,pageSeoTitle,pageSeoDescription
Almohada Std Vialifresh Super Confort,35209,Almohadas,Página 6 / Básicos,2,[],[],[],[],[],Almohadas,Vialifresh Super Confort,,[],[],['vialifresh'],[],Activa,[],,
Almohada Pocket,35646,Almohadas,Página 6 / Básicos,3,[],[],[],[],[],Almohadas,Pocket,,[],[],[],[],Activa,[],,
Almohada Ks Balance,35215 35214,Almohadas,Página 6 / Básicos,4,[],[],[],[],[],Almohadas,Balance,,[],[],[],[],Activa,[],,
Almohada Ks Básica Plus,88692,Almohadas,Página 6 / Básicos,5,[],[],[],[],[],Almohadas,Básica Plus,,[],[],[],[],Activa,[],,
Almohada Ks Cooling,36260,Almohadas,Página 6 / Básicos,6,[],[],[],[],[],Almohadas,Cooling,,[],[],[],[],Activa,[],,
Almohada Ks Antiviral Impermeable,35219 35217,Almohadas,Página 6 / Básicos,7,[],[],[],[],[],Almohadas,Antiviral Impermeable,,[],[],[],[],Activa,[],,
Cojín Modular Std,87647,Almohadas,Página 6 / Básicos,8,[],[],[],[],[],Almohadas,Modular,,[],[],[],[],Activa,[],,
Almohada Std Super Confort,35205,Almohadas,Página 6 / Básicos,9,[],[],[],[],[],Almohadas,Super Confort,,[],[],['nuit'],[],Activa,[],,
Protector De Almohada Cooling Std,87554,Almohadas,Página 6 / Básicos,10,[],[],[],[],[],Almohadas, Cooling,,[],[],[],[],Activa,[],,
Almohada Std Sognare Firme,35239,Almohadas,Página 6 / Básicos,11,[],[],[],[],[],Almohadas,Sognare Firme,,[],[],[],[],Activa,[],,
Almohada Std Sognare Nuo,87644,Almohadas,Página 6 / Básicos,12,[],[],[],[],[],Almohadas,Sognare Nuo,,[],[],[],[],Activa,[],,
Almohada Body Comfort Washed Gris,88845,Almohadas,Página 6 / Básicos,13,[],[],[],[],[],Almohadas,Body Comfort Washed Gris,,[],[],[],[],Activa,[],,
Relleno Almohada Std Balance,35838,Almohadas,Página 6 / Básicos,14,[],[],[],[],[],Almohadas,Relleno Balance,,[],[],[],[],Activa,[],,
Almohada Viafoam Std Gel Confort,87627,Almohadas,Página 6 / Básicos,15,[],[],[],[],[],Almohadas,Viafoam Gel Confort,,[],[],['viafoam'],[],Activa,[],,
Almohada Viafoam Std Duo Soft,87854,Almohadas,Página 6 / Básicos,16,[],[],[],[],[],Almohadas,Viafoam Duo,,[],[],['viafoam'],[],Activa,[],,
Cojín Viafoam Ortoconfort Std,36295,Almohadas,Página 6 / Básicos,17,[],[],[],[],[],Almohadas,Ortoconfort,,[],[],['viafoam'],[],Activa,[],,
Cojín Viafoam Multiseat Std,86681,Almohadas,Página 6 / Básicos,18,[],[],[],[],[],Almohadas,Multiseat,,[],[],['viafoam'],[],Activa,[],,
Cojín Viafoam Std Ortomedic,36297,Almohadas,Página 6 / Básicos,19,[],[],[],[],[],Almohadas,Ortomedic,,[],[],['viafoam'],[],Activa,[],,
Almohada Viafoam Std Cool,88619,Almohadas,Página 6 / Básicos,20,[],[],[],[],[],Almohadas,Viafoam Cool,,[],[],['nuit' 'viafoam'],[],Activa,[],,
Almohada Lactancia Washed Gris,88741,Almohadas,Página 6 / Básicos,21,[],[],[],[],[],Almohadas,Lactancia Washed Gris,,[],[],[],[],Activa,[],,
Funda De Almohada Lactancia Alpes Gris,24924,Almohadas,Página 6 / Básicos,22,[],[],[],[],[],Almohadas,Lactancia Alpes Gris,,[],[],[],[],Activa,[],,
Almohada Abrazable Washed Mint,88752,Almohadas Abrazables,Página 6 / Básicos,23,[],[],[],[],[],Sublinea,Washed Mint,,[],[],[],[],Activa,[],,
Almohada Abrazable Washed Gris,88751,Almohadas Abrazables,Página 6 / Básicos,24,[],[],[],[],[],Sublinea,Washed Gris,,[],[],[],[],Activa,[],,
Almohada Abrazable Blush,88763,Almohadas Abrazables,Página 6 / Básicos,25,[],[],[],[],[],Sublinea,Blush,,[],[],[],[],Activa,[],,
Almohada Abrazable Everest Bruselas,87476,Almohadas Abrazables,Página 6 / Básicos,26,[],[],[],[],[],Sublinea,Everest Bruselas,,[],[],[],[],Activa,[],,
Almohada Abrazable Everest Barrow,87232,Almohadas Abrazables,Página 6 / Básicos,27,[],[],[],[],[],Sublinea,Everest Barrow,,[],[],[],[],Activa,[],,
Almohada Abrazable Everest Deep Rose,88224,Almohadas Abrazables,Página 6 / Básicos,28,[],[],[],[],[],Sublinea,Everest Deep Rose,,[],[],[],[],Activa,[],,
Almohada Abrazable Alpes Gris,36193,Almohadas Abrazables,Página 6 / Básicos,29,[],[],[],[],[],Sublinea,Alpes Gris,,[],[],[],[],Activa,[],,
Almohada Abrazable Alpes Negro,36292,Almohadas Abrazables,Página 6 / Básicos,30,[],[],[],[],[],Sublinea,Alpes Negro,,[],[],[],[],Activa,[],,
Funda De Almohada Abrazable Viasoft Gris,36307,Fundas De Almohada,Página 6 / Básicos,31,[],[],[],[],[],Sublinea, Viasoft Gris,,[],[],['viasoft'],[],Activa,[],,
